id,titulaire-sexe,titulaire-soutien-simplifie,n_sentences,mean_sent_len,std_sent_len,mean_word_len,pron_1sg_rate,pron_1pl_rate,modal_rate,adj_rate,flesch_fr,msttr
EL195_L_1993_03_075_10_2_PF_02,homme,Droite parlementaire (RPR/UDF),1,492.0,0.0,4.782520325203252,2.8455284552845526,1.8292682926829267,0.40650406504065045,10.365853658536585,-441.6743089430894,0.85
EL195_L_1993_03_075_11_2_PF_01,homme,Gauche gouvernementale (PS/MRG/MDC),3,137.66666666666666,189.74427234804455,4.876513317191283,1.2106537530266344,1.4527845036319613,0.24213075060532688,11.138014527845035,-84.03045601291362,0.76
EL195_L_1993_03_075_11_2_PF_02,femme,Droite parlementaire (RPR/UDF),2,267.0,224.0,4.822097378277154,3.5580524344569286,1.1235955056179776,0.9363295880149813,8.98876404494382,-214.0993820224719,0.905
EL195_L_1993_03_075_17_2_PF_01,femme,Gauche gouvernementale (PS/MRG/MDC),4,99.0,167.432075780001,5.16919191919192,3.2828282828282833,1.0101010101010102,1.7676767676767675,13.131313131313133,-56.1112626262626,0.82
EL195_L_1993_03_075_17_2_PF_02,femme,Droite parlementaire (RPR/UDF),2,127.5,103.5,5.113725490196078,1.9607843137254901,2.7450980392156863,2.3529411764705883,8.627450980392156,-84.6211274509804,0.8877551020408163
EL195_L_1993_03_075_18_2_PF_01,homme,Droite parlementaire (RPR/UDF),4,44.75,53.63942113781617,4.949720670391062,0.0,3.910614525139665,1.1173184357541899,11.1731843575419,11.500537709497252,0.7857142857142857
EL195_L_1993_03_075_18_2_PF_02,homme,Non mentionné,4,77.25,126.88060332454288,5.239482200647249,2.26537216828479,1.2944983818770228,2.26537216828479,11.650485436893204,-33.13819983818772,0.8282828282828283
EL195_L_1993_03_075_19_2_PF_01,homme,Droite parlementaire (RPR/UDF),2,197.0,150.0,4.728426395939087,4.060913705583756,1.2690355329949239,0.7614213197969544,7.614213197969544,-139.78139593908628,0.8
EL195_L_1993_03_075_19_2_PF_02,homme,Non mentionné,6,93.5,183.11631094289044,5.263814616755793,1.06951871657754,0.53475935828877,0.53475935828877,14.08199643493761,-51.50178698752224,0.87
EL195_L_1993_03_075_20_2_PF_01,homme,Non mentionné,6,51.5,100.57294202053883,4.82200647249191,2.26537216828479,3.559870550161812,2.912621359223301,6.796116504854369,1.3346197411003402,0.82
EL195_L_1993_03_075_20_2_PF_02,homme,Droite parlementaire (RPR/UDF),3,187.33333333333334,235.94679249544564,5.181494661921708,2.135231316725979,2.491103202846975,0.5338078291814947,10.320284697508896,-141.47500593119807,0.93
EL195_L_1993_03_075_21_2_PF_01,homme,Non mentionné,7,40.142857142857146,89.38748485654797,4.864768683274021,1.4234875444839856,0.7117437722419928,1.4234875444839856,8.540925266903916,13.554644128113893,0.91
EL195_L_1993_03_075_21_2_PF_02,homme,Droite parlementaire (RPR/UDF),4,149.75,199.9492123015242,4.789649415692821,2.5041736227045077,0.8347245409015025,1.335559265442404,8.180300500834726,-94.65367904841398,0.88
EL195_L_1993_03_075_05_2_PF_01,homme,Non mentionné,6,63.5,134.3983506843245,5.167979002624672,0.5249343832020997,0.7874015748031495,1.3123359580052494,11.548556430446194,-17.981633858267713,0.92
EL195_L_1993_03_075_05_2_PF_02,homme,Droite parlementaire (RPR/UDF),2,106.5,76.5,5.037558685446009,0.9389671361502347,1.4084507042253522,0.4694835680751174,8.92018779342723,-59.00923708920186,0.8648648648648649
EL195_L_1993_03_075_06_2_PF_01,homme,Non mentionné,5,122.8,216.2419015824639,5.138436482084691,0.8143322475570033,0.6514657980456027,0.6514657980456027,11.563517915309445,-78.74688599348532,0.905
EL195_L_1993_03_075_06_2_PF_02,femme,Droite parlementaire (RPR/UDF),1,262.0,0.0,5.041984732824427,2.2900763358778624,0.38167938931297707,1.9083969465648856,8.396946564885496,-217.64755725190832,0.8842105263157894
EL195_L_1993_03_075_07_2_PF_01,homme,Non mentionné,11,31.363636363636363,53.792991647734404,5.220289855072464,0.2898550724637681,0.2898550724637681,0.5797101449275363,11.884057971014492,14.312575757575758,0.88
EL195_L_1993_03_075_07_2_PF_02,homme,Droite parlementaire (RPR/UDF),2,279.5,227.5,4.68515205724508,4.47227191413238,1.9677996422182469,1.6100178890876566,7.8711985688729875,-224.28749105545617,0.8400000000000001
EL195_L_1993_03_075_08_2_PF_01,homme,Droite parlementaire (RPR/UDF),2,155.0,138.0,4.932258064516129,1.935483870967742,3.870967741935484,1.6129032258064515,6.774193548387098,-104.64758064516127,0.92
EL195_L_1993_03_075_08_2_PF_02,homme,Non mentionné,6,44.5,83.54390063513513,5.127340823970037,0.37453183520599254,1.1235955056179776,1.8726591760299627,13.857677902621724,1.6766947565543262,0.77
EL195_L_1993_03_075_09_2_PF_01,homme,Non mentionné,9,41.0,82.18677914766259,4.9620596205962055,1.6260162601626018,1.8970189701897018,1.3550135501355014,11.38211382113821,9.408848238482364,0.78
EL195_L_1993_03_075_09_2_PF_02,femme,Droite parlementaire (RPR/UDF),1,338.0,0.0,4.819526627218935,4.142011834319527,2.6627218934911245,1.183431952662722,7.396449704142012,-285.8830177514793,0.87
EL196_L_1993_03_076_01_2_PF_01,femme,Droite parlementaire (RPR/UDF),6,69.5,91.71650160503651,4.609112709832134,2.3980815347721824,1.9184652278177456,0.7194244604316548,6.71462829736211,-13.036984412469991,0.83
EL196_L_1993_03_076_01_2_PF_02,homme,Non mentionné,1,387.0,0.0,4.8785529715762275,0.7751937984496124,1.550387596899225,1.8087855297157622,7.751937984496124,-341.37295865633064,0.83
EL196_L_1993_03_076_10_2_PF_01,homme,Droite parlementaire (RPR/UDF),14,29.714285714285715,89.1462911426482,5.25,2.8846153846153846,2.1634615384615383,0.2403846153846154,10.576923076923077,15.486153846153854,0.93
EL196_L_1993_03_076_10_2_PF_02,homme,Gauche gouvernementale (PS/MRG/MDC),5,75.4,145.8034293149513,4.76657824933687,2.9177718832891246,0.0,0.7957559681697612,10.610079575596817,-19.46415649867373,0.85
