id,famille_partisane,titulaire-sexe,lda_dominant_topic,lda_dominant_label,bertopic,bertopic_label,lda_topic_0,lda_topic_1,lda_topic_2,lda_topic_3,lda_topic_4,lda_topic_5,lda_topic_6,lda_topic_7,lda_topic_8,lda_topic_9,nmf_topic_0,nmf_topic_1,nmf_topic_2,nmf_topic_3,nmf_topic_4,nmf_topic_5,nmf_topic_6,nmf_topic_7,nmf_topic_8,nmf_topic_9
EL197_L_1993_03_091_08_1_PF_01,Gauche gouvernementale (PS/MRG/MDC),homme,9,"Nature, faune et chasse",0,franais / rpr / udf,0.0001865941740213146,0.00018661077124820932,0.00018660866740113246,0.002835123489369174,0.023234275992613067,0.00018660315746854924,0.00018659272588018215,0.0001865933560504956,0.00018659298165715765,0.9726244046842907,0.0,0.0,0.777441354549314,0.011844957464151856,0.09533121392706764,0.0001975130683118218,0.10947925050967572,0.002045165950410279,0.003660533041773319,0.0
EL197_L_1993_03_091_08_1_PF_02,Front national,homme,3,Conflit capital-travail et maintien de l emploi,0,franais / rpr / udf,0.00014144497686307053,0.00014146020550229166,0.00014144765585540788,0.9931340828087927,0.0001414585337724567,0.0001414478534888029,0.00014145951677560126,0.0036135453827516803,0.00014144641641927776,0.002262206649778866,0.0,0.9887909137972803,0.0,0.0,0.0,0.0,0.011209081522880776,0.0,0.0,0.0
EL197_L_1993_03_091_08_1_PF_03,PCF,homme,4,Écologie et environnement,0,franais / rpr / udf,0.00020327310901027752,0.00020327174600483547,0.00020328497532307336,0.00020334353173183874,0.6404810006087908,0.00020330079231364772,0.00020328044009907832,0.003015917152868725,0.0002032726093357621,0.35508005503452206,0.0,0.0,0.1419300167980267,0.0,0.019190970867763956,0.0,0.838879007539445,0.0,0.0,0.0
EL197_L_1993_03_091_08_1_PF_04,Droite parlementaire (RPR/UDF),homme,9,"Nature, faune et chasse",0,franais / rpr / udf,0.0005886194431946058,0.0005883075767960765,0.0005886688825719063,0.0005883488012922787,0.0005884267955626433,0.0005883232936204763,0.0005883186106632204,0.0005882982199482112,0.0005883285409541462,0.9947043598353964,0.011074147476058692,0.05992219041645553,0.8322749836334838,0.024170433917947716,0.016887383187415114,0.0,0.0,0.0,0.0,0.05567084500211857
EL197_L_1993_03_091_08_1_PF_05,Non mentionné,femme,9,"Nature, faune et chasse",1,cologie / entente / verts,0.0059560068715742275,0.000425562453127658,0.1510556374556228,0.00042556894890711047,0.00042562238907521563,0.19428373952482,0.0004255725133410454,0.00042557887032119843,0.0004255429628927395,0.646151168010318,0.0026789906324540674,0.0,0.35108882256028584,0.0,0.4578780856837853,0.0,0.0,0.0,0.0,0.18835408962203434
EL197_L_1993_03_091_08_1_PF_06,Indépendants / divers,femme,9,"Nature, faune et chasse",-1,bruit,0.00026317462285674705,0.04786992753838652,0.0002631934034178697,0.00026318811681154793,0.00026322576344683306,0.0002631819416857979,0.00026321350195699885,0.0002631816129393639,0.00026318804186614643,0.9500245254566322,0.0,0.0388054688900001,0.6455244416298784,0.0,0.0,0.0,0.09935505715654461,0.002691443595768903,0.11015367217246622,0.10346990111215577
EL197_L_1993_03_091_08_1_PF_07,Écologistes,homme,2,Immigration et réduction des impôts,1,cologie / entente / verts,0.0002754960477280313,0.00027552403236888164,0.7250044834985889,0.0002755235250545294,0.010174988517538558,0.00027553390006180504,0.0002755045041894255,0.0002755242624955436,0.00027549461296694694,0.26289192709900727,0.0,0.0,0.010730821893118917,0.0,0.934877372514788,0.0016563241271237675,0.029064381408187297,0.005090759949924908,0.0,0.018580335760327985
EL197_L_1993_03_091_08_1_PF_08,Non mentionné,homme,9,"Nature, faune et chasse",0,franais / rpr / udf,0.00016865222752525857,0.0081660788933134,0.0001686625520847683,0.00016867754254243716,0.01270531263432502,0.0001686785396120355,0.00016867489885562088,0.0001686686597433834,0.00016866162568982882,0.9779479324263082,0.003046876401829527,0.035153290001594464,0.5714512001652341,0.02266437473758236,0.0,0.19806968390555643,0.05835766771950457,0.06550563209680897,0.04575126585860673,0.0
EL197_L_1993_03_091_08_1_PF_09,Droite parlementaire (RPR/UDF),femme,9,"Nature, faune et chasse",0,franais / rpr / udf,0.0002976453433352573,0.000297659167441442,0.0002976635944818133,0.00029766436836641436,0.00029767185767376334,0.00029766967962614776,0.0002976440573432694,0.008291675113616647,0.0002976854839350496,0.9893270213341802,0.0,0.0,0.8630919508725344,0.0,0.0,0.07340389371596694,0.0,0.027886972127502598,0.0,0.03561716960444355
EL197_L_1993_03_091_08_1_PF_10,Extrême gauche,non déterminé,8,Positionnement gauche-droite et identité partisane,3,patrons / travailleurs / patronat,0.00010846245529281605,0.00010846243354809145,0.00010846213631300454,0.0001084625742992934,0.0001084657589978141,0.00010846237619227142,0.00010846420230920771,0.00010846197342552904,0.999023831518537,0.00010846457108494394,0.0,0.0,0.0,0.9999999962987525,0.0,0.0,0.0,0.0,0.0,0.0
EL197_L_1993_03_091_08_1_PF_11,Écologistes,non déterminé,0,Travail salarié et secteur public,2,animaux / nature animaux / rassemblement nature,0.9961701612051692,0.0004255366890117277,0.00042554078058176087,0.00042553537372596516,0.0004255409430255759,0.00042553593690671676,0.0004255361117857757,0.00042553789903825994,0.00042553637796163645,0.000425538682793292,0.9999999946962197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EL197_L_1993_03_091_09_1_PF_01,Autres,homme,9,"Nature, faune et chasse",0,franais / rpr / udf,0.0528691595348214,0.0005209298408462837,0.0005209818764949174,0.0005209104700968102,0.000520988994477776,0.000520907095838496,0.0005209524472427793,0.000520895432624054,0.0005209088681709783,0.9429633654393865,0.14185710429921866,0.002625794339208297,0.5423341698268023,0.028218545385770295,0.06513498690043815,0.19171821259085287,0.0,0.020759794873420993,0.0073513754151036965,0.0
EL197_L_1993_03_091_09_1_PF_02,Gauche gouvernementale (PS/MRG/MDC),homme,9,"Nature, faune et chasse",0,franais / rpr / udf,0.0002584220251931281,0.005038249220842687,0.00025844487389190446,0.0002584414033350607,0.07583496498547343,0.0002584319389548748,0.00025844243501676496,0.00025844585023199006,0.0002584225379974146,0.9173177347290629,0.0,0.004835785887314579,0.6521458010705318,0.0,0.056319624901411396,0.0,0.18762597944470272,0.0,0.0539823917672735,0.04509040494713785
EL197_L_1993_03_091_09_1_PF_03,Extrême gauche,non déterminé,8,Positionnement gauche-droite et identité partisane,3,patrons / travailleurs / patronat,0.0001084624552927203,0.00010846243354794259,0.0001084621363129437,0.0001084625742992582,0.00010846575899748274,0.00010846237619212731,0.00010846420230899315,0.00010846197342532627,0.9990238315185384,0.00010846457108491189,0.0,0.0,0.0,0.9999999963072052,0.0,0.0,0.0,0.0,0.0,0.0
EL197_L_1993_03_091_09_1_PF_04,Écologistes,homme,2,Immigration et réduction des impôts,1,cologie / entente / verts,0.00029500273399426147,0.00029505390644401965,0.7760659428814434,0.00029502043299142646,0.00029504205397736736,0.00029501574546459753,0.0002950228781430722,0.00029501046254278246,0.0002950090788064478,0.22157387982619256,0.0,0.0,0.0,0.0007202818741676363,0.9911200630710413,0.0,0.0,0.0,0.0,0.00815965068004114
EL197_L_1993_03_091_09_1_PF_05,Non mentionné,homme,9,"Nature, faune et chasse",0,franais / rpr / udf,0.0005208943542830627,0.0005209367509035032,0.20804204024039105,0.0005210050994133401,0.0005209346531779333,0.000520914856369754,0.0005209770398558981,0.0005209427839730758,0.0005208852502303049,0.7877904689714021,0.008694295656875928,0.10346853513287838,0.4034387534672063,0.0,0.28159534437193595,0.0,0.0,0.07358279751591529,0.09573212374456716,0.033488137773941114
EL197_L_1993_03_091_09_1_PF_06,PCF,homme,9,"Nature, faune et chasse",0,franais / rpr / udf,0.00021696972914794725,0.0002169643274170814,0.00021696144774080523,0.004467800601918077,0.4564166844408543,0.00021695754291156544,0.00021697676362298049,0.0002169637353692082,0.00021698978383760258,0.5375967316271805,0.0,0.015260333935018517,0.35901828706724,0.0831682518428068,0.0,0.03817057924936065,0.4107316752410574,0.003957822436758867,0.0896930422357302,0.0
EL197_L_1993_03_091_09_1_PF_07,Front national,femme,3,Conflit capital-travail et maintien de l emploi,0,franais / rpr / udf,0.00013831478155051333,0.00013833181344028998,0.00013831787761704766,0.9955888684975058,0.00013832102069991772,0.00013831657135648172,0.00013831760568639565,0.0033045743898601795,0.00013831615415655905,0.00013832128812672274,0.0,0.993365096945936,0.0,0.0,0.0,0.0,0.006634898147541414,0.0,0.0,0.0
