id,departement-nom,titulaire-soutien,german_density
EL192_L_1993_03_057_04_2_PF_01,Moselle,non mentionné,0.12013536379018612
EL192_L_1993_03_057_04_2_PF_02,Moselle,Rassemblement pour la République;Union pour la démocratie française,0.11851851851851852
EL192_L_1993_03_057_05_2_PF_01,Moselle,Union pour la démocratie française;Rassemblement pour la République,0.0906515580736544
EL192_L_1993_03_057_05_2_PF_02,Moselle,non mentionné,0.09433962264150944
EL192_L_1993_03_057_06_2_PF_01,Moselle,Rassemblement pour la République,0.1039426523297491
EL192_L_1993_03_057_06_2_PF_02,Moselle,Union pour la démocratie française,0.09444444444444444
EL192_L_1993_03_057_07_2_PF_01,Moselle,Rassemblement pour la République;Union pour la démocratie française,0.11382113821138211
EL192_L_1993_03_057_07_2_PF_02,Moselle,Front national,0.11976487876561352
EL192_L_1993_03_057_08_2_PF_01,Moselle,non mentionné,0.14168618266978922
EL192_L_1993_03_057_08_2_PF_02,Moselle,socialiste,0.11954261954261955
EL194_L_1993_03_067_01_2_PF_01,Bas-Rhin,Union pour la démocratie française,0.13793103448275862
EL194_L_1993_03_067_01_2_PF_02,Bas-Rhin,Union pour la démocratie française;Rassemblement pour la République,0.1214574898785425
EL194_L_1993_03_067_02_2_PF_01,Bas-Rhin,Union pour la démocratie française;Rassemblement pour la République,0.12639405204460966
EL194_L_1993_03_067_02_2_PF_02,Bas-Rhin,non mentionné,0.11308767471410419
EL194_L_1993_03_067_03_2_PF_01,Bas-Rhin,Mouvement démocratie alsacienne,0.09848484848484848
EL194_L_1993_03_067_03_2_PF_02,Bas-Rhin,Centre des démocrates sociaux;Union pour la démocratie française;Rassemblement pour la République,0.1122715404699739
EL194_L_1993_03_067_04_2_PF_01,Bas-Rhin,Union pour la démocratie française;Rassemblement pour la République,0.11246200607902736
EL194_L_1993_03_067_04_2_PF_02,Bas-Rhin,Front national;Cercle national des femmes d'Europe;Fraternité française;Association pour le développement de la démocratie directe;Comité pour l'Europe des Patries,0.13785557986870897
EL194_L_1993_03_067_05_2_PF_01,Bas-Rhin,Union pour la démocratie française;Rassemblement pour la République,0.10392609699769054
EL194_L_1993_03_067_05_2_PF_02,Bas-Rhin,libre,0.11375212224108659
EL194_L_1993_03_067_06_2_PF_01,Bas-Rhin,Centre des démocrates sociaux;Union pour la démocratie française,0.11551925320886815
